commit_id,msg
3fc0287e1c4b873e13d1f928e4c4f4413a5cac69,"New repository initialized by cvs2svn.

git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@1 a161b567-7d1e-0410-9ef9-912c70fedb3f"
6ef818a48b453627fd282971f3f9a28e28f54390,"Initial revision


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@2 a161b567-7d1e-0410-9ef9-912c70fedb3f"
ec7b03ff9e045f6c9455c06e3fb204f3640a96f5,"Fixed typecast problems and removed referenced to uci.gef.contrib
from sources.


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@6 a161b567-7d1e-0410-9ef9-912c70fedb3f"
e21916a677609b6ed11a77bdbe9fa92260842c80,"Added in the ArrowHead classes. These do the drawing of the
arrowheads, keeping as state the color and such.


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@7 a161b567-7d1e-0410-9ef9-912c70fedb3f"
9938a6c56ad48f31b96b9b7159c50b882d852496,"Fixed FigLine so the pointAlongPerimiter function works (it was
mathematically incorrect) and implemented the arrowheads in
terms of those functions. At the moment all lines have
arrowheads, that will go away soon.


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@8 a161b567-7d1e-0410-9ef9-912c70fedb3f"
2697036dba5f6f62d5845cf395d909e9aa5f593c,"Added in the stuff to draw arrowheads. Preliminary rev, will
fix up in next commit.


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@9 a161b567-7d1e-0410-9ef9-912c70fedb3f"
a52c21155f86d13e0d91846765391de98f78e206,"Added the Path*.java files into the reposityory.


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@10 a161b567-7d1e-0410-9ef9-912c70fedb3f"
b75f2a85dc6c86a25711e423b55b6e30dbc39dba,"Changed the FigEdge class to have labels.
Also added in the Path class information to FigEdge as the
way to do this.


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@11 a161b567-7d1e-0410-9ef9-912c70fedb3f"
efeb85d651a515461eb01b91b4c736f0ad9dd019,"these files shold never have been placed in the repository


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@12 a161b567-7d1e-0410-9ef9-912c70fedb3f"
47887867b6234cc7c6cf6811334557e45082532a,"representation of graphs intended to match swing models


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@13 a161b567-7d1e-0410-9ef9-912c70fedb3f"
0bdc20c1739e7c931efa67e4bf1cfc6c4dcd8b7d,"testing access lists


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@14 a161b567-7d1e-0410-9ef9-912c70fedb3f"
984fdbd5538c9de5fc1598879d98d66a322e2118,"Added a line


git-svn-id: http://argouml.tigris.org/svn/argouml/trunk@15 a161b567-7d1e-0410-9ef9-912c70fedb3f"
